"FSD650M.Code.or.Value","FSD650M.Value.Description","FSD650M.Count","FSD650M.Cumulative","FSD650M.Skip.to.Item"
"1","Yes",132,132,""
"2","No",100,232,"End of Section"
"7","Refused",0,232,"End of Section"
"9","Don't know",1,233,"End of Section"
".","Missing",9889,10122,""
