"RFXC116.Code.or.Value","RFXC116.Value.Description","RFXC116.Count","RFXC116.Cumulative","RFXC116.Skip.to.Item"
"-7.555 to 5.736","Range of Values",33684,33684,NA
".","Missing",37,33721,NA
