"OHD28LAS.Code.or.Value","OHD28LAS.Value.Description","OHD28LAS.Count","OHD28LAS.Cumulative","OHD28LAS.Skip.to.Item"
"0 to 9","Range of Values",2302,2302,NA
"99","Calculation cannot be determined",256,2558,NA
".","Missing",4160,6718,NA
