"MPQ120S.Code.or.Value","MPQ120S.Value.Description","MPQ120S.Count","MPQ120S.Cumulative","MPQ120S.Skip.to.Item"
"28","Mid-leg - right",259,259,NA
".","Missing",4782,5041,NA
