"RFXT104.Code.or.Value","RFXT104.Value.Description","RFXT104.Count","RFXT104.Cumulative","RFXT104.Skip.to.Item"
"902 to 911","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
