"WBXF022.Code.or.Value","WBXF022.Value.Description","WBXF022.Count","WBXF022.Cumulative","WBXF022.Skip.to.Item"
"686.9768 to 686.9768","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
