"LBDTIB.Code.or.Value","LBDTIB.Value.Description","LBDTIB.Count","LBDTIB.Cumulative","LBDTIB.Skip.to.Item"
"139 to 621","Range of Values",5893,5893,NA
".","Missing",508,6401,NA
