"WTSAU05.Code.or.Value","WTSAU05.Value.Description","WTSAU05.Count","WTSAU05.Cumulative","WTSAU05.Skip.to.Item"
"0 to 481141.13125","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
