"BIXC1M.Code.or.Value","BIXC1M.Value.Description","BIXC1M.Count","BIXC1M.Cumulative","BIXC1M.Skip.to.Item"
"1.9 to 2427.35","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
