"WTSPH13.Code.or.Value","WTSPH13.Value.Description","WTSPH13.Count","WTSPH13.Cumulative","WTSPH13.Skip.to.Item"
"0 to 774699.59583","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
