"RFXT125.Code.or.Value","RFXT125.Value.Description","RFXT125.Count","RFXT125.Cumulative","RFXT125.Skip.to.Item"
"1088 to 1097","Range of Values",33683,33683,NA
".","Missing",38,33721,NA
