"AUDTYL55.Code.or.Value","AUDTYL55.Value.Description","AUDTYL55.Count","AUDTYL55.Cumulative","AUDTYL55.Skip.to.Item"
"0 to 5.56","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
