"OSD030ab.Code.or.Value","OSD030ab.Value.Description","OSD030ab.Count","OSD030ab.Cumulative","OSD030ab.Skip.to.Item"
"34 to 68","Range of Values",3,3,NA
"80","80 or older",5,8,NA
"77777","Refused",0,8,NA
"99999","Don't know",1,9,NA
".","Missing",3060,3069,NA
