"WTSCI12.Code.or.Value","WTSCI12.Value.Description","WTSCI12.Count","WTSCI12.Cumulative","WTSCI12.Skip.to.Item"
"0 to 472455.9849","Range of Values",727,727,NA
".","Missing",51,778,NA
