"WBXP066.Code.or.Value","WBXP066.Value.Description","WBXP066.Count","WBXP066.Cumulative","WBXP066.Skip.to.Item"
"-147.102 to 158.2673","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
