"WBXP094.Code.or.Value","WBXP094.Value.Description","WBXP094.Count","WBXP094.Cumulative","WBXP094.Skip.to.Item"
"-156.4213 to 155.1604","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
