"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"182.2 to 426.1","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
