"DXXLLA.Code.or.Value","DXXLLA.Value.Description","DXXLLA.Count","DXXLLA.Cumulative","DXXLLA.Skip.to.Item"
"68.42 to 538.72","Range of Values",4019,4019,NA
".","Missing",1095,5114,NA
