"BAQ080C.Code.or.Value","BAQ080C.Value.Description","BAQ080C.Count","BAQ080C.Cumulative","BAQ080C.Skip.to.Item"
"1","Yes",15,15,NA
"2","No",403,418,NA
"7","Refused",0,418,NA
"9","Don't know",0,418,NA
".","Missing",2881,3299,NA
