"MCQ267E.Code.or.Value","MCQ267E.Value.Description","MCQ267E.Count","MCQ267E.Cumulative","MCQ267E.Skip.to.Item"
"5","Other",87,87,NA
"7","Refused",0,87,NA
"9","Don't know",0,87,NA
".","Missing",9558,9645,NA
