"LBXPFBS.Code.or.Value","LBXPFBS.Value.Description","LBXPFBS.Count","LBXPFBS.Cumulative","LBXPFBS.Skip.to.Item"
"0.07 to 0.3","Range of Values",2168,2168,NA
".","Missing",171,2339,NA
