"CIQP13E.Code.or.Value","CIQP13E.Value.Description","CIQP13E.Count","CIQP13E.Cumulative","CIQP13E.Skip.to.Item"
"1","Yes",50,50,NA
"2","No",58,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
