"LBXTBM.Code.or.Value","LBXTBM.Value.Description","LBXTBM.Count","LBXTBM.Cumulative","LBXTBM.Skip.to.Item"
"0.02 to 11","Range of Values",7108,7108,NA
".","Missing",713,7821,NA
