"URXTRA.Code.or.Value","URXTRA.Value.Description","URXTRA.Count","URXTRA.Cumulative","URXTRA.Skip.to.Item"
"0.0495 to 0.0495","Range of Values",2530,2530,NA
".","Missing",164,2694,NA
