"LBXCD1.Code.or.Value","LBXCD1.Value.Description","LBXCD1.Count","LBXCD1.Cumulative","LBXCD1.Skip.to.Item"
"1","No inducible resistance detected",29,29,NA
"2","Inducible resistance detected",87,116,NA
"3","No result",254,370,NA
".","Missing",8809,9179,NA
