"URDMU1LC.Code.or.Value","URDMU1LC.Value.Description","URDMU1LC.Count","URDMU1LC.Cumulative","URDMU1LC.Skip.to.Item"
"0","At or above detection limit",2620,2620,NA
"1","Below lower detection limit",1,2621,NA
".","Missing",138,2759,NA
