"OPDSEXC.Code.or.Value","OPDSEXC.Value.Description","OPDSEXC.Count","OPDSEXC.Cumulative","OPDSEXC.Skip.to.Item"
"0","No",261,261,NA
"1","Yes",86,347,NA
"2","Maybe",60,407,NA
"3","Ungradable",7,414,NA
".","Missing",3449,3863,NA
