"LBXDP3.Code.or.Value","LBXDP3.Value.Description","LBXDP3.Count","LBXDP3.Cumulative","LBXDP3.Skip.to.Item"
"12.6 to 229","Range of Values",4305,4305,NA
".","Missing",1338,5643,NA
