"TYXP136.Code.or.Value","TYXP136.Value.Description","TYXP136.Count","TYXP136.Cumulative","TYXP136.Skip.to.Item"
"-293 to 61","Range of Values",4315,4315,NA
".","Missing",1270,5585,NA
