"URDTP1LC.Code.or.Value","URDTP1LC.Value.Description","URDTP1LC.Count","URDTP1LC.Cumulative","URDTP1LC.Skip.to.Item"
"0","At or above the detection limit",38,38,NA
"1","Below lower detection limit",2411,2449,NA
"2","Detectable result and exceeds the calibrated range of assay",0,2449,NA
".","Missing",156,2605,NA
