"AUXR4KR.Code.or.Value","AUXR4KR.Value.Description","AUXR4KR.Count","AUXR4KR.Cumulative","AUXR4KR.Skip.to.Item"
"45 to 100","Range of Values",8,8,NA
"666","No response",1,9,NA
"888","Could not obtain",1,10,NA
".","Missing",3121,3131,NA
