"WBXF105.Code.or.Value","WBXF105.Value.Description","WBXF105.Count","WBXF105.Cumulative","WBXF105.Skip.to.Item"
"7550.9945 to 7550.9945","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
