"DSXAF1.Code.or.Value","DSXAF1.Value.Description","DSXAF1.Count","DSXAF1.Cumulative","DSXAF1.Skip.to.Item"
"568.15 to 548641.84","Range of Values",6827,6827,NA
".","Missing",2613,9440,NA
