"ARQ020E.Code.or.Value","ARQ020E.Value.Description","ARQ020E.Count","ARQ020E.Cumulative","ARQ020E.Skip.to.Item"
"5","BUTTOCKS",456,456,NA
".","Missing",4650,5106,NA
