"DXDSTBMD.Code.or.Value","DXDSTBMD.Value.Description","DXDSTBMD.Count","DXDSTBMD.Cumulative","DXDSTBMD.Skip.to.Item"
"0.496 to 1.616","Range of Values",3569,3569,NA
".","Missing",1545,5114,NA
