"PAQ759u.Code.or.Value","PAQ759u.Value.Description","PAQ759u.Count","PAQ759u.Cumulative","PAQ759u.Skip.to.Item"
"21","MARTIAL ARTS",12,12,NA
".","Missing",9243,9255,NA
