"DBD071a.Code.or.Value","DBD071a.Value.Description","DBD071a.Count","DBD071a.Cumulative","DBD071a.Skip.to.Item"
"10","Whole or regular,",1277,1277,NA
"77","Refused",0,1277,NA
"99","Don't know",5,1282,NA
".","Missing",9757,11039,NA
