"BMAUPLEL.Code.or.Value","BMAUPLEL.Value.Description","BMAUPLEL.Count","BMAUPLEL.Cumulative","BMAUPLEL.Skip.to.Item"
"1","Above elbow",0,0,NA
"2","Below elbow",0,0,NA
".","Missing",9282,9282,NA
