"WBXA060.Code.or.Value","WBXA060.Value.Description","WBXA060.Count","WBXA060.Cumulative","WBXA060.Skip.to.Item"
"-2.9696 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
