"DMDHSEDU.Code.or.Value","DMDHSEDU.Value.Description","DMDHSEDU.Count","DMDHSEDU.Cumulative","DMDHSEDU.Skip.to.Item"
"1","Less Than 9th Grade",619,619,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",511,1130,NA
"3","High School Grad/GED or Equivalent",980,2110,NA
"4","Some College or AA degree",1462,3572,NA
"5","College Graduate or above",1629,5201,NA
"7","Refused",2,5203,NA
"9","Don't Know",23,5226,NA
".","Missing",4745,9971,NA
