"URXDHD.Code.or.Value","URXDHD.Value.Description","URXDHD.Count","URXDHD.Cumulative","URXDHD.Skip.to.Item"
"0.0629 to 11400","Range of Values",2659,2659,NA
".","Missing",100,2759,NA
