"BIXS013K.Code.or.Value","BIXS013K.Value.Description","BIXS013K.Count","BIXS013K.Cumulative","BIXS013K.Skip.to.Item"
"364.61 to 973.87","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
