"AUDTYR37.Code.or.Value","AUDTYR37.Value.Description","AUDTYR37.Count","AUDTYR37.Cumulative","AUDTYR37.Skip.to.Item"
"0 to 2.28","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
