"SSBPPP.Code.or.Value","SSBPPP.Value.Description","SSBPPP.Count","SSBPPP.Cumulative","SSBPPP.Skip.to.Item"
"0.035 to 7.56","Range of Values",2427,2427,NA
".","Missing",3,2430,NA
