"TYXA222.Code.or.Value","TYXA222.Value.Description","TYXA222.Count","TYXA222.Cumulative","TYXA222.Skip.to.Item"
"0.288 to 3.888","Range of Values",161,161,NA
".","Missing",5424,5585,NA
