"OPXSF1.Code.or.Value","OPXSF1.Value.Description","OPXSF1.Count","OPXSF1.Cumulative","OPXSF1.Skip.to.Item"
"0","Absent",119,119,NA
"2","Present",3205,3324,NA
".","Missing",539,3863,NA
