"DS2ICAFF.Code.or.Value","DS2ICAFF.Value.Description","DS2ICAFF.Count","DS2ICAFF.Cumulative","DS2ICAFF.Skip.to.Item"
"20 to 1200","Range of Values",15,15,NA
".","Missing",5761,5776,NA
