"WBXA095.Code.or.Value","WBXA095.Value.Description","WBXA095.Count","WBXA095.Cumulative","WBXA095.Skip.to.Item"
"-18.5572 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
