"RFXT067.Code.or.Value","RFXT067.Value.Description","RFXT067.Count","RFXT067.Cumulative","RFXT067.Skip.to.Item"
"575 to 584","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
