"LBDLDLN.Code.or.Value","LBDLDLN.Value.Description","LBDLDLN.Count","LBDLDLN.Cumulative","LBDLDLN.Skip.to.Item"
"20 to 359","Range of Values",2827,2827,NA
".","Missing",209,3036,NA
