"URXMU7.Code.or.Value","URXMU7.Value.Description","URXMU7.Count","URXMU7.Cumulative","URXMU7.Skip.to.Item"
"0.004 to 80.8","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
