"RFXC140.Code.or.Value","RFXC140.Value.Description","RFXC140.Count","RFXC140.Cumulative","RFXC140.Skip.to.Item"
"-7.79 to 7.64","Range of Values",33675,33675,NA
".","Missing",46,33721,NA
