"DXXPEBMD.Code.or.Value","DXXPEBMD.Value.Description","DXXPEBMD.Count","DXXPEBMD.Cumulative","DXXPEBMD.Skip.to.Item"
"0.554 to 2.277","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
