"WTSHM49.Code.or.Value","WTSHM49.Value.Description","WTSHM49.Count","WTSHM49.Cumulative","WTSHM49.Skip.to.Item"
"0.0000000 to 743342.3638400","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
