"DX2LAA.Code.or.Value","DX2LAA.Value.Description","DX2LAA.Count","DX2LAA.Cumulative","DX2LAA.Skip.to.Item"
"141.8 to 346.7","Range of Values",464,464,NA
".","Missing",21,485,NA
