"AUXLR122.Code.or.Value","AUXLR122.Value.Description","AUXLR122.Count","AUXLR122.Cumulative","AUXLR122.Skip.to.Item"
"-50 to 81","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
