"BIXC339K.Code.or.Value","BIXC339K.Value.Description","BIXC339K.Count","BIXC339K.Cumulative","BIXC339K.Skip.to.Item"
"14.31 to 105.41","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
