"DBQ925h.Code.or.Value","DBQ925h.Value.Description","DBQ925h.Count","DBQ925h.Cumulative","DBQ925h.Skip.to.Item"
"17","Other nuts",55,55,NA
".","Missing",10482,10537,NA
