"WTSAU27.Code.or.Value","WTSAU27.Value.Description","WTSAU27.Count","WTSAU27.Cumulative","WTSAU27.Skip.to.Item"
"0 to 477175.36369","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
