"SSPT.Code.or.Value","SSPT.Value.Description","SSPT.Count","SSPT.Cumulative","SSPT.Skip.to.Item"
"0.02 to 1454.71","Range of Values",5902,5902,NA
".","Missing",9,5911,NA
