"VIXKLD2.Code.or.Value","VIXKLD2.Value.Description","VIXKLD2.Count","VIXKLD2.Cumulative","VIXKLD2.Skip.to.Item"
"36.5 to 68.25","Range of Values",6441,6441,NA
"88","Could not obtain",63,6504,NA
".","Missing",413,6917,NA
