"DX2TRPF.Code.or.Value","DX2TRPF.Value.Description","DX2TRPF.Count","DX2TRPF.Cumulative","DX2TRPF.Skip.to.Item"
"10.7 to 52.5","Range of Values",443,443,NA
".","Missing",42,485,NA
