"BIXS115K.Code.or.Value","BIXS115K.Value.Description","BIXS115K.Count","BIXS115K.Cumulative","BIXS115K.Skip.to.Item"
"236.81 to 881.41","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
