"LBDBGMLC.Code.or.Value","LBDBGMLC.Value.Description","LBDBGMLC.Count","LBDBGMLC.Cumulative","LBDBGMLC.Skip.to.Item"
"0","At or above the detection limit",4240,4240,NA
"1","Below lower detection limit",3240,7480,NA
".","Missing",886,8366,NA
